User ID : 258617654 , Lattitute : 35.1268163, Longitute : 138.90956686, Tweet Number : 886902581871640577, Tweet Status : I'm at JR三島駅 新幹線ホーム in 三島市, 静岡県 https://t.co/SAj2AwGd6N
User ID : 308919708 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886902562984775680, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/NqMOcFrRPI
User ID : 601478856 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 886902196264214528, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/4YU8jSaAKd
User ID : 2221260234 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886901883465588736, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/uQylQIihD0
User ID : 409135429 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886901405554008066, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/otiB0aAu6L
User ID : 72203810 , Lattitute : 36.6757793, Longitute : 137.20202641, Tweet Number : 886900107312078848, Tweet Status : I'm at マクドナルド 富山空港通り店 - @mcdonaldsjapan in 富山市, 富山県 https://t.co/zoZDcmPlqC
User ID : 77511733 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886899983395540992, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/8RmhiUvYZi
User ID : 65118116 , Lattitute : 34.75761019, Longitute : 133.84987293, Tweet Number : 886899352022765568, Tweet Status : I'm at 岡山空港 第4駐車場 in 岡山市, 岡山県 https://t.co/UTDVEttSrK
User ID : 210404823 , Lattitute : 38.25988806, Longitute : 140.8818566, Tweet Number : 886896080083988480, Tweet Status : I'm at JR仙台駅 新幹線ホーム in 仙台市, 宮城県 https://t.co/CaY5QpNCjm
User ID : 244525568 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886895373905784832, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/hWDJqbN31y
User ID : 477812070 , Lattitute : 34.85906358, Longitute : 136.81414382, Tweet Number : 886893257229258755, Tweet Status : I'm at 活魚料理 まるは食堂 中部国際空港店 in 常滑市, 愛知県 https://t.co/hWhMLtm3Lp
User ID : 4748207660 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886890355471388675, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/qSaKqueT6W
User ID : 124616624 , Lattitute : 36.70103534, Longitute : 137.21344663, Tweet Number : 886889265631723525, Tweet Status : I'm at 北陸新幹線 富山駅 in Toyama-shi, Toyama https://t.co/Exjl6dqvh2
User ID : 1922603516 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 886888720015777792, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/Z7gXWNSJ2K
User ID : 75494988 , Lattitute : 34.85956294, Longitute : 136.81499975, Tweet Number : 886888492755808256, Tweet Status : I'm at 味仙 中部国際空港店 in 常滑市, 愛知県 https://t.co/4NIbrCsinv https://t.co/0Wnr1CFwxc
User ID : 453618532 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886885847081111553, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/G2DDpN8mbF
User ID : 191716799 , Lattitute : 35.41489189, Longitute : 132.88583789, Tweet Number : 886884098320596992, Tweet Status : I'm at 出雲縁結び空港 in 出雲市, 島根県 https://t.co/PdxfOEwXdK
User ID : 350569612 , Lattitute : 35.41489189, Longitute : 132.88583789, Tweet Number : 886882685888733184, Tweet Status : I'm at 出雲縁結び空港 in 出雲市, 島根県 https://t.co/fLLVJs6iSd
User ID : 3123993494 , Lattitute : 38.25988806, Longitute : 140.8818566, Tweet Number : 886882449430646784, Tweet Status : I'm at JR仙台駅 新幹線ホーム in 仙台市, 宮城県 https://t.co/wUL64BGubQ
User ID : 452237712 , Lattitute : 35.41479569, Longitute : 132.88568091, Tweet Number : 886881413232041984, Tweet Status : I'm at 出雲空港ターミナル in 出雲市, 島根県 https://t.co/iEzBwW6i8i
User ID : 431458689 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 886881040907853824, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/J9N7lAflGy
User ID : 63460948 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886881016752820224, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/yfrREpfDwE
User ID : 153663216 , Lattitute : 35.9059803, Longitute : 139.6231842, Tweet Number : 886879490726559745, Tweet Status : I'm at JR 大宮駅 新幹線ホーム - @jreast_official in さいたま市, 埼玉県 https://t.co/G8nyGr1xs6
User ID : 140360334 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886879473697775616, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/B63bAXbUBH
User ID : 185686596 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886877283402887169, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/JMWlYe1zSd
User ID : 237631231 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 886875623674830848, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/Z0VCi1HdfC
User ID : 2445544891 , Lattitute : 33.54746854, Longitute : 133.67422968, Tweet Number : 886874429132873728, Tweet Status : I'm at 高知龍馬空港 in 南国市, 高知県 https://t.co/tyWujwdO37
User ID : 592914351 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886874167680929792, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/P8YTxISDD2
User ID : 1544970516 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886872234698190848, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 w/ @dosukoi_debu https://t.co/G3GrElygJ9
User ID : 142663830 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886871969903366144, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/hJwmPiXkHH
User ID : 2348548940 , Lattitute : 36.401695, Longitute : 136.41321, Tweet Number : 886870638539026432, Tweet Status : I'm at 小松空港 in 小松市, 石川県 https://t.co/u3aXoxhw65
User ID : 157229476 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 886868947034935297, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/HHJn4ul3r9
User ID : 5660332 , Lattitute : 34.66484501, Longitute : 135.49943872, Tweet Number : 886867101763481600, Tweet Status : I'm at 大阪空港交通リムジンバス なんば停留所 in 大阪市, 大阪府 https://t.co/ZIlmqnNBin
User ID : 3251463266 , Lattitute : 36.17791507, Longitute : 140.40732974, Tweet Number : 886866965763153920, Tweet Status : I'm at 茨城空港 in 小美玉市, 茨城県 https://t.co/vhd3H9nDEw
User ID : 835603315 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886866089514336256, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/IKXouMXIPG
User ID : 3012859190 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 886865131157811201, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/DgybvVEQ5c
User ID : 116414348 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886864786142752768, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/fwImQ7Bjt9
User ID : 220195558 , Lattitute : 36.55810219, Longitute : 139.89777289, Tweet Number : 886863666028609536, Tweet Status : I'm at 宇都宮駅 新幹線ホーム in Utsunomiya, Tochigi https://t.co/iIBzRtbyEF
User ID : 197965264 , Lattitute : 34.21866022, Longitute : 134.0187943, Tweet Number : 886863006084288512, Tweet Status : I'm at 高松空港 in 高松市, 香川県 https://t.co/FFMR5ozqVn
User ID : 6025742 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886862436439121921, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/snB8i765R4
User ID : 310686458 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886859310709518338, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/VPOTahuBJA
User ID : 1127327816 , Lattitute : 34.4362216, Longitute : 135.24333, Tweet Number : 886859089497792514, Tweet Status : I'm at JR 関西空港駅 in いずみさのし, 大阪府 https://t.co/YYKyOlllSZ
User ID : 12069562 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 886858313375338496, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/NdWlR6ZujZ
User ID : 313699454 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886857436346408960, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/4OrbRRe7HN
User ID : 2750981791 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886857278586048512, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/DolveBvbTO
User ID : 60598210 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 886856499951276033, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/FkaCTX92Z7
User ID : 753910762997895168 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886853479561666560, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/WAB5gM6hmN
User ID : 2215404596 , Lattitute : 34.98468348, Longitute : 135.75932005, Tweet Number : 886852236676091904, Tweet Status : I'm at 京都駅 新幹線ホーム in 京都市, 京都府 https://t.co/Ty0eyfconp
User ID : 2790632523 , Lattitute : 35.77283674, Longitute : 140.38727431, Tweet Number : 886851365686956032, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/luOri2B4Rl
User ID : 16841355 , Lattitute : 38.25988806, Longitute : 140.8818566, Tweet Number : 886848931971379200, Tweet Status : I'm at JR仙台駅 新幹線ホーム in 仙台市, 宮城県 https://t.co/7FqnJvE0kl
User ID : 112395218 , Lattitute : 35.5265858, Longitute : 134.16769445, Tweet Number : 886845054496722945, Tweet Status : I'm at 鳥取空港 / 鳥取砂丘コナン空港 in 鳥取市, 鳥取県 https://t.co/Udncx5oD1P
User ID : 406969276 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886843595071791105, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/pZfbn0Ftop
User ID : 2592715044 , Lattitute : 34.63677065, Longitute : 135.22864308, Tweet Number : 886843428339953665, Tweet Status : I'm at 神戸空港 in Kobe, 兵庫県 https://t.co/Fc7cd8kgvT
User ID : 25598200 , Lattitute : 35.14220116, Longitute : 138.66380072, Tweet Number : 886840690126331904, Tweet Status : I'm at 新富士駅 新幹線ホーム in 富士市, 静岡県 https://t.co/4maKYJx7Ph
User ID : 42860422 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886838667532283904, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/93N1ayEI57
User ID : 136015339 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886838626147086336, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/2MrmswnV2H
User ID : 837876335619919872 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886838479061229570, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/5LsFh5mepU
User ID : 11637282 , Lattitute : 34.98468348, Longitute : 135.75932005, Tweet Number : 886835647645921280, Tweet Status : I'm at 京都駅 新幹線ホーム in 京都市, 京都府 https://t.co/jHKFI9waV3
User ID : 128472070 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886834853873934336, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/SEMy0dmUsg
