User ID :78141830, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91835E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :405746960, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91831E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :2270217308, Lattitute :35.77353396, Longitute :140.3883621, Tweet Number :8.91831E+17, Tweet Status : I'm at 空港第2ビル駅 in 成田市,,,
User ID :222780336, Lattitute :34.4362216, Longitute :135.24333, Tweet Number :8.91831E+17, Tweet Status : I'm at JR 関西空港駅 in いずみさのし,,,
User ID :255288999, Lattitute :35.27567693, Longitute :139.1805231, Tweet Number :8.91827E+17, Tweet Status : I'm at 「新幹線の発祥地・鴨宮」碑 in 小田原市,,,
User ID :74194905, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91826E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :7.81721E+17, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91825E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :423252767, Lattitute :33.54746854, Longitute :133.6742297, Tweet Number :8.91823E+17, Tweet Status : I'm at 高知龍馬空港 in 南国市,,,
User ID :110680660, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91823E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :247717954, Lattitute :34.98468348, Longitute :135.7593201, Tweet Number :8.91817E+17, Tweet Status : I'm at 京都駅 新幹線ホーム in 京都市,,,
User ID :2593080962, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.91816E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :7.75739E+17, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91816E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :45276380, Lattitute :34.21866022, Longitute :134.0187943, Tweet Number :8.9181E+17, Tweet Status : I'm at 高松空港 - @tak_oficial_fb in 高松市,,,
User ID :116141158, Lattitute :34.63677065, Longitute :135.2286431, Tweet Number :8.91809E+17, Tweet Status : I'm at 神戸空港 in Kobe,,,
User ID :3328897309, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91809E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :1334299236, Lattitute :34.85944729, Longitute :136.8148579, Tweet Number :8.91809E+17, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市,,,
User ID :1373352978, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91809E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :137692035, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91808E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :119727809, Lattitute :34.63980199, Longitute :135.2288353, Tweet Number :8.91808E+17, Tweet Status : I'm at 神戸空港 海上アクセスターミナル in 神戸市,,,
User ID :1915665049, Lattitute :38.13813458, Longitute :140.929935, Tweet Number :8.91806E+17, Tweet Status : I'm at 仙台国際空港 - @sendai_a_s in 名取市,,,
