User ID : 113555348 , Lattitute : 34.8600223, Longitute : 136.81606376, Tweet Number : 895196861409132544, Tweet Status : I'm at 中部国際空港駅 in Tokoname, Aichi https://t.co/n0HJO4LM2d
User ID : 286753703 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895196536015114244, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/gJI7DEYtvM
User ID : 39749050 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895193931612209157, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/EuVdu6uKOd
User ID : 113555348 , Lattitute : 34.85995813, Longitute : 136.81012448, Tweet Number : 895192271339089920, Tweet Status : I'm at 中部国際空港 滑走路 in 常滑市, 愛知県 https://t.co/rCWMSMWrAU
User ID : 483499433 , Lattitute : 38.13813458, Longitute : 140.92993498, Tweet Number : 895192047870717952, Tweet Status : I'm at 仙台国際空港 - @sendai_a_s in 名取市, 宮城県 https://t.co/UW9esEasRB
User ID : 100734488 , Lattitute : 38.13725698, Longitute : 140.92941999, Tweet Number : 895191352190828544, Tweet Status : I'm at 仙台空港駅 in 名取市, 宮城県 https://t.co/mZrrL6IiPM
User ID : 1243598010 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 895190398448152576, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/Hbnqvb0v8b
User ID : 419514141 , Lattitute : 34.85944729, Longitute : 136.81485788, Tweet Number : 895189361850974208, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/Nif5C2VJ8n
User ID : 354131873 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895186235530018816, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/mfPD9vIViU
User ID : 105699879 , Lattitute : 35.77266623, Longitute : 140.38762734, Tweet Number : 895185750324645889, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/nvXyhefbl7
User ID : 281453542 , Lattitute : 37.44748926, Longitute : 138.8539712, Tweet Number : 895182838269718529, Tweet Status : I'm at 長岡駅 上越新幹線ホーム in 長岡市, 新潟県 https://t.co/VId30KUcKA
User ID : 703179930 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895180798294413312, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/GN9SPV8Uu8
User ID : 162381138 , Lattitute : 35.71436168, Longitute : 139.37111827, Tweet Number : 895180670552682496, Tweet Status : I'm at 新幹線電車図書館 in 昭島市, 東京都 https://t.co/qjEbMBM0Qw
