User ID : 135781931 , Lattitute : 35.17041855, Longitute : 136.88135205, Tweet Number : 872336637317054465, User Location : 0〜下2.5, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/vR8Vpg9PCn
User ID : 264930190 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872336584984715264, User Location : , Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/MkLQfQWGmW
User ID : 152037974 , Lattitute : 22.31521307, Longitute : 113.93417958, Tweet Number : 872335666851569664, User Location : Made in YAMAGUCHI の千葉県民, Tweet Status : I'm at 香港国際空港 - @hkairport in Islands District, Hong Kong https://t.co/5S3loEd8tn
User ID : 231992693 , Lattitute : 33.93317713, Longitute : 131.2749052, Tweet Number : 872323939619549184, User Location : Yamaguchi Big City, Japan, Tweet Status : I'm at 山口宇部空港 in 宇部市, 山口県 https://t.co/smFFNp4ElI
User ID : 487547668 , Lattitute : 40.0656104, Longitute : 116.60612386, Tweet Number : 872322403485044736, User Location : , Tweet Status : I'm at 北京首都国際空港 in Beijing https://t.co/qZLrnW5F7Q
User ID : 67932228 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872322136941223936, User Location : 東京都大田区, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/c5pRKZIrd9
User ID : 72277594 , Lattitute : 32.83459296, Longitute : 130.85842113, Tweet Number : 872321420835135494, User Location : 熊本, Tweet Status : I'm at 熊本空港 / 阿蘇くまもと空港 in 益城町, 熊本県 https://t.co/tl9BIlDvnV
User ID : 558259005 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872319809064759297, User Location : 都内を駆けずり回る！, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/pkZ9PexgzU
User ID : 994224649 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872318633170673664, User Location : 岡山の西, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/smKm5BhAeP
User ID : 2396458998 , Lattitute : 37.95203185, Longitute : 139.11313534, Tweet Number : 872311686618914817, User Location : さっぽろ, Tweet Status : I'm at 新潟空港 - @niigata_airport in 新潟市, 新潟県 https://t.co/3qbWK9xFSL
User ID : 60023477 , Lattitute : 35.68093543, Longitute : 139.7676964, Tweet Number : 872310262879199237, User Location : 広島県安芸郡, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/LGZbfaqwgz
